11个城市,北京,天津,成都,西安,淄博,长沙,唐山,济南,保定,贵阳,合肥,长春,石家庄,苏州,郑州,茂名,扬州,莆田,绍兴,阜阳,上海,广州,南京,汕头,杭州,武汉,深圳,佛山,南昌,太原,厦门,盐城,襄阳,重庆,沈阳,大连,昆明,南宁,无锡,枣庄,宁波,南通,哈尔滨,青岛,连云港,淮安,常州,临沂,乌鲁木齐,徐州
时间,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
degree,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
24,49.2,121.4,139.7,124.1,48.5,154.5,41.6,95.5,153.3,74,119.8,33.3,68.3,34,98.7,192.7,72.9,91.7,62.5,242.9,22,166.1,124.4,121.3,65.5,125.3,82.1,132.6,55.5,91.7,164.8,72.9,154.2,92.9,53.7,61.3,59.8,111,36.1,146.8,33.3,62.1,117.2,38,55.6,65.2,55,49.4,31.4,134.4
23,60.1,131.7,137.5,123.5,52.1,158.7,39,86.9,203.6,81.6,101.3,35.3,59.6,41.6,102.1,162.6,67.5,90.2,63.5,212.9,19.6,186.3,121.1,149.4,64.1,120.2,103.2,142.9,55.2,89.3,153.6,80.8,158.1,89.4,59.6,68.5,68.8,127.1,34,153,28.2,88.6,125,42.4,77.6,75.7,46,43.9,28.5,140
22,84.4,122.5,139.9,125,37.2,162.6,45,76.5,201.2,82.5,98.6,37.3,62.7,44.9,101.9,164.4,74.3,88.5,55.7,222.9,20.9,197.5,142.9,129.8,59.9,117.6,87,138.3,52.8,85.8,189.6,79.5,175.6,94.8,71.9,72.8,72.5,137.2,23.3,160,25,100,89.9,50.9,180.6,92.9,44.5,109.8,30.4,141.9
21,100.3,111.5,139.1,134.6,37,162.2,88.5,73,164.8,93.6,100,47.2,68.8,43.5,107.8,198.4,75.4,93.2,49.4,185.1,22,190,157.6,74.7,57.8,125,83.6,143.4,49.4,85.5,248.7,60.5,184.8,96.2,115,74.5,68.6,138.2,23,133.3,22.6,63.2,66,40,186.4,97,38,115.3,20.7,138.2
20,106.3,104,136.3,141.4,35.6,157.5,93.9,64,147.1,92.7,98.5,63.9,73.7,40.9,114.9,271.7,49.2,100,47.3,191.9,23.1,199.2,148.7,105.3,54.3,119.5,83.2,153.2,50.3,81.3,305,40.5,175.6,96.5,132.4,70.1,59.4,130.7,21.8,103.1,22.3,50,60,36.6,85.7,78.1,37.8,114.1,37.1,134.4
19,132.2,102.6,124.2,146.2,25.6,160.2,89.7,62.4,124.6,89.9,98.5,67.8,73.1,37,117.9,364.6,60,112.1,44.1,223.3,28.2,189.1,134,106,45.6,111.8,84.6,147.7,52.1,86.6,291.7,27.1,169.7,100.1,112.4,82.3,56.2,125,23.5,104.8,23.6,33.3,61.4,38.7,42.3,64.5,42,83.5,43.9,136.1
18,181.4,104.2,114.6,150.2,28.8,165.6,87,62.7,103.1,89.8,100,54.2,70.2,38.7,113.7,367.7,61.4,126.6,44.3,208.1,28.2,179,119.2,90.9,51.3,98.8,88.3,148.6,57,97.6,280,27.8,156.6,113.1,75.4,82.5,57.4,125,29.7,93.1,25.5,31.7,76.6,41.2,36.5,67.2,49.6,76.9,45.2,130.4
17,210.6,99.8,102.3,153.2,30.2,179.8,75.4,70.4,106.6,88,103.4,48.7,65.6,51.6,109.7,320,72.3,126.4,38.7,215.8,24.4,168.5,106.3,91,47.8,89.9,95.7,123.6,57.9,103.3,221.8,26.4,151.4,118.7,73.1,75.8,63.1,123.1,44.1,90,27.8,36.7,87.7,45.2,36,73.4,57.2,73.6,61.9,134.2
16,190.2,100.9,92.2,148.9,33.8,193.1,71.9,75.9,119.4,107.8,103.5,48.2,67.4,53.4,104.4,408.3,81.4,120.3,38.7,246,31.7,156,101.5,86.9,46.3,82.1,115.5,131.8,59.7,69.6,154,27.8,140.4,137.7,83.5,72.2,78.4,126.3,52.6,94.4,33,38.7,89.3,61.2,35.4,68.8,58.9,78.3,85.3,130.4
15,181.7,92.7,78.2,130,34.1,180.2,73.5,68,150,148.9,112.3,51.9,81,45.5,100.6,246.2,65.7,123.6,42.6,195.8,29.5,135.3,95.9,80.6,45.1,83.3,86.4,98.9,64.4,104,78.3,32.4,137.1,160.9,99.6,88.2,71.3,123.4,78.8,154.2,35.7,43.3,90,75.8,47.9,67.2,64.1,81.9,90.3,130.4
14,179.2,84,74.7,114.7,34.8,157.8,22.3,74,156.1,72,119,63,93.8,42.7,90,157.1,53.3,132.8,37,201.3,27.3,140.2,90,75.7,50.1,83,79.4,72.4,66,65.3,41.7,32.4,114.2,220.2,124.9,164.1,99.6,100.2,44.7,130,40,66.7,103.6,71,62.5,98.5,72.6,91.4,93.8,132.3
13,176.5,69.5,68.8,99.8,33.8,134.5,22.8,69.5,143.4,63.8,130.5,62.6,98,39.1,82.1,167.1,51.4,97.1,37.2,151.7,23.3,60.6,98.2,57.3,47.6,86.7,72.4,66.8,70.1,70,44.6,30,102,107,88,170.9,65.6,45.7,41.2,93.8,28.9,45.2,126.6,112.9,56.3,59.1,43.1,54,63.3,123.4
12,193.2,59.7,62.6,95.6,45.3,126.4,32.7,56.3,123.9,60.6,134.5,53.8,91.1,40,78.7,92.3,45.7,157.9,40.5,159.5,29.5,57.8,96.5,62.4,50.3,87.7,67.4,63.6,77.4,72,51.2,35.3,100.8,95.8,59.6,90.5,53.3,44.7,50.3,102.1,28.9,46.8,103.1,158,35.4,51.6,39.3,52,63.7,116.1
11,154.9,55.4,62.3,87.2,44.6,124,43.9,49.1,105.8,63.8,126.7,40.4,90.6,42.6,72.4,107.2,42.9,231,43.9,201.3,34.1,58.1,78,61.3,58,93.9,63.3,58.2,84.2,71.5,52.2,42.9,103.7,95.2,45.7,66.7,42.5,44.1,60.6,108.3,34.3,71,80.4,72.1,39.6,56.3,39.1,53.3,67.1,114.2
10,127.1,55.9,62.9,79.2,48.9,118.4,62.6,48.6,114.4,68.4,111.9,35,81.8,42.1,68.5,80.8,41.4,214.4,52.2,149,33.7,56.6,76.6,60.7,58.1,89.9,58.2,56.7,79.3,71.3,52.8,37.1,93.6,89.6,50.6,58,37.3,41.7,54.8,98,35.5,71.1,70.6,77.9,40.6,54.3,42.8,56,62,115.8
9,90.6,56.5,63.7,69.8,54,112.8,83.3,48.2,125.5,73.1,96.6,29.5,71.7,41.7,64.9,53.3,40,198,58.7,103.2,33.3,55,75.4,60,58.2,86,52.4,55,74.9,71,53.3,31.4,83.6,83.6,60.8,49.4,30.5,39.5,49.5,88,36.8,71.2,59.2,84.4,41.7,52.7,46.5,58.8,56.9,117.9
8,84.7,52.6,66.3,63.9,42.2,94.2,79.8,39.2,121.8,73.6,94.7,25.8,43.5,38.3,62.3,54.5,36.3,167,54.6,96.7,37,55,79.4,57.2,59.1,81.2,51.5,52.9,68.9,70,48.3,27.1,83.8,78.3,68.6,45.6,28.1,40.9,30.1,61.1,31.7,42.4,49,73.3,28.3,51.4,39.9,54.1,62.3,107.8
7,82.8,59.2,72,61.9,36.2,91.2,82.8,37.5,79.6,58.1,76.8,25.7,41,36.5,59.1,62.9,36.5,150,51.8,115,35.8,58.4,71.3,54.7,65.1,78.4,47.9,54.9,64,68.2,50.9,24.3,82.3,72.7,66.3,38.4,22,40.9,34.6,63.5,32.5,28.8,44.9,58.3,25,41.2,38.7,47.1,74.5,104.9
6,80,64.8,74,63.2,33.9,104.5,58,35.5,63.1,46.1,86.3,23.8,42.6,38.4,56.2,53.3,35.7,138.6,50.8,111.7,38.2,57.7,60,55.7,68.6,75.6,50.4,54.4,54.4,62.7,54.5,25.7,83.1,72.5,57.8,35.2,18.5,43,39.5,62.5,34.4,26.5,33.7,42.4,25,45.5,40.4,40,74.2,95.2
5,83,60.3,77.8,57,33.3,117.7,53.3,40,60.9,37.3,86.5,23.8,44.4,43.9,53.4,64,33.9,138.6,54.8,80,38.9,59.5,62.6,53.3,71.8,85.9,48.5,55.5,47.7,56.3,65.5,25.7,80,73.5,54.1,33.3,20,42.3,32.2,59.3,34.7,28.6,33,48.5,23.9,46.9,40.1,30.5,76.4,79.3
4,66.7,73.6,86.8,54,35.9,123.7,51.8,38,61.6,33.9,85.2,26.6,46.9,47.7,50.2,62,37.8,150,61.9,83.5,39,61.1,62.1,50.5,79.5,93.7,48.5,53.3,55.7,55.8,67.8,28.6,76.8,71.9,44,36.8,22,46.9,27,51.5,35.6,30,36.1,47.1,29.2,42.2,39.3,17.1,82.5,83.6
3,56.6,74.1,95.2,51.3,31.6,126.1,39.7,35.8,55.1,30.1,81.8,23.8,68.5,40,46,66,38.8,139.4,68.2,68.5,45.7,55.8,66.4,54.2,82.5,100,48.9,55,53.3,43.8,61.5,30.9,76,68.2,32.9,38.9,24.7,49,24.2,45.3,36.7,30.6,44,49.4,29.2,15.5,34.3,23.4,80.4,78.5
2,38.4,78.3,91.8,50.7,29.5,125,35.6,42.5,50.7,27.5,82.5,22.7,60.7,43.1,41,70.9,35,124,76.9,57.8,46.3,56.7,59.3,56.2,86.3,102.6,50.8,56.1,50.9,33.6,85.9,28.8,74.4,64.4,32.7,39.2,27.2,49.1,30.3,48.4,45.5,39,40.7,42,27.1,35.9,34,32.4,74.6,76.5
1,29.3,62.7,90.8,49.8,34.8,120.2,27.5,35.9,44.8,25.7,88.3,25.4,49.9,45.4,39.5,73,32.6,123.5,74.3,66,45.8,60.3,57.3,57,85,100.8,51.9,53.8,43.2,30.7,80,33.3,73.6,64,42.9,38.8,27.6,47.7,35.7,51.7,58.1,38.4,44,42.3,26,45.3,34.6,36.8,70.2,68.6
